author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,stopwords_removed,link_distance
Kafka,Schloss,en,123646,4396,43260,19.6815286624204,4,5,2.56067228352179,0,0.147085838101225,0.00035518258614515,0.00425823172095821,0.593798531996566,2.18985613510862,39,False,1
Kafka,Verwandlung,en,22252,1998,11542,11.5535535535536,4,6,2.6853142576728,0,0.179294010611452,0.000844345820477353,0.00728030180999453,0.44934012519725,2.17673530053259,12,False,1
Nietzsche,Goetzen,de,24016,3988,15224,7.63490471414243,2,10,2.84243513082513,0,0.445791279236827,0.000462226575721307,0.00786045613008923,0.39166441865905,2.20262472211431,21,False,1
Nietzsche,Geburt,de,41279,6012,24351,8.10079840319361,2,6,2.78880441302279,0,0.437198414150776,0.00029763800549464,0.00641424208619299,0.40458789903441,2.20881964758985,8,False,1
Hesse,Siddhartha,de,34063,3572,18446,10.3281075027996,2,6,2.72127358530504,0,0.267030786417531,0.00048214946367088,0.00670482766998896,0.457733963017255,2.35724492236879,35,False,1
Kafka,Prozess,de,68468,5508,33476,12.1554103122731,3,6,2.71913636292306,0,0.304750851483357,0.000312229633658383,0.00506265498025255,0.478886030785399,2.11679816625295,19,False,1
Hesse,Demian,de,46490,5145,25059,9.74110787172012,2,6,2.73766729086658,0,0.254440811096586,0.000337870365713898,0.00563083881326654,0.49742649717678,2.18929827817498,32,False,1
Austen,Stolz,en,121550,4339,44332,20.4342014289007,5,6,2.49956483122241,0,0.152124179703362,0.000345760855711877,0.00447886914209624,0.601870957303687,2.20578508614515,25,False,1
Austen,Stolz,de,90025,6058,43401,14.328491251238,4,7,2.69128227366594,0,0.223789011857768,0.000279273823260558,0.00433588369065361,0.466032259208778,2.31182180313389,39,False,1
Austen,Verstand,en,119645,4417,44145,19.9886800996151,5,5,2.50707647577049,0,0.149933246022483,0.000341353675146204,0.00446699863804474,0.599295388091182,2.21275997414927,28,False,1
Austen,Anna,en,81731,4066,34107,16.7766847024102,4,5,2.5535711195774,0,0.17625098621468,0.000382276358163731,0.00506582416204172,0.574213141032599,2.14335427908517,21,False,1
Nietzsche,Jenseits,en,62024,5700,32137,11.2761403508772,3,10,2.69970730475953,0,0.287928542287764,0.000298298930284228,0.00537160249320111,0.49873679503493,2.24115322578139,28,False,1
Kafka,Prozess,en,83717,3365,30090,17.8841010401189,4,5,2.56273081115844,0,0.157438355220556,0.000464683559666501,0.00500584229179612,0.571888540148819,2.22481803638251,40,False,1
Nietzsche,Zarathustra,de,85041,6869,39950,11.6319697190275,2,10,2.92303977599596,0,0.244854302897961,0.00028004074209931,0.00444709677741286,0.503335926489623,2.13526411953639,22,False,1
Hesse,Steppenwolf,en,74785,5460,34814,12.752380952381,4,6,2.5804770426496,0,0.294368719375227,0.00028957072969029,0.00535533801112666,0.558544899048121,2.14399241697945,10,False,1
Hesse,Camenzind,en,46758,5002,26304,10.5173930427829,3,16,2.78313157840243,0,0.247549910812065,0.000356626315680486,0.00524826208980936,0.433313630775611,2.23767748057027,17,False,1
Hesse,Siddhartha,en,39330,2622,18121,13.8222730739893,4,5,2.59144543674266,0,0.187563418034447,0.000607421922420863,0.00655582892733492,0.513125442486727,2.18687817202527,19,False,1
Hesse,Camenzind,de,44344,6533,27262,8.34593601714373,2,12,2.83392314434729,0,0.310844243149975,0.000280802808811405,0.00564479922248956,0.404408420533261,2.21307320983305,9,False,1
Hesse,Demian,en,52897,3839,24717,12.8767908309456,4,5,2.6111440129083,0,0.193482669876199,0.000419896797734768,0.00555049498239342,0.541228424066098,2.21813692537279,18,False,1
Nietzsche,Jenseits,de,55478,7046,32323,9.17485097927902,2,9,2.79739431057028,0,0.326929792547749,0.000255166710756712,0.0053770537447886,0.44740369233854,2.13146574575193,8,False,1
Hesse,Steppenwolf,de,66396,7896,37385,9.4693515704154,2,6,2.79030445185768,0,0.269113387397407,0.000226793064588001,0.0047021211088538,0.438946491962889,2.12838210905111,9,False,1
Nietzsche,Geburt,en,46498,4655,24106,10.3570354457573,3,10,2.73177166010366,0,0.277614149299595,0.000372183894284045,0.00590281828474878,0.454243269439201,2.30600411108538,26,False,1
